Type,Region,Residence _School Type,Service_Type,Year,Coverage,School_age _population,Service_level
sdg,Australia and New Zealand,primary,Sanitation,2009,100,2235445,Basic service
sdg,Australia and New Zealand,secondary,Sanitation,2009,100,2166742,Basic service
sdg,Australia and New Zealand,total,Sanitation,2009,0,0,Insufficient data
sdg,Australia and New Zealand,pre_primary,Sanitation,2009,100,387498,Insufficient data
sdg,Australia and New Zealand,primary,Sanitation,2009,0,0,Insufficient data
sdg,Australia and New Zealand,rural,Sanitation,2009,100,705060,Insufficient data
sdg,Australia and New Zealand,secondary,Sanitation,2009,0,0,Insufficient data
sdg,Australia and New Zealand,urban,Sanitation,2009,100,4084626,Insufficient data
sdg,Australia and New Zealand,total,Sanitation,2009,0,0,Limited service
sdg,Australia and New Zealand,primary,Sanitation,2009,0,0,Limited service
sdg,Australia and New Zealand,secondary,Sanitation,2009,0,0,Limited service
sdg,Australia and New Zealand,total,Sanitation,2009,0,0,No service
sdg,Australia and New Zealand,primary,Sanitation,2009,0,0,No service
sdg,Australia and New Zealand,secondary,Sanitation,2009,0,0,No service
sdg,Australia and New Zealand,total,Hygiene,2010,100,4803557,Basic service
sdg,Australia and New Zealand,primary,Hygiene,2010,100,2252472,Basic service
sdg,Australia and New Zealand,secondary,Hygiene,2010,100,2153828,Basic service
sdg,Australia and New Zealand,total,Hygiene,2010,0,0,Insufficient data
sdg,Australia and New Zealand,pre_primary,Hygiene,2010,100,397257,Insufficient data
sdg,Australia and New Zealand,primary,Hygiene,2010,0,0,Insufficient data
sdg,Australia and New Zealand,rural,Hygiene,2010,100,703047,Insufficient data
sdg,Australia and New Zealand,secondary,Hygiene,2010,0,0,Insufficient data
sdg,Australia and New Zealand,urban,Hygiene,2010,100,4100510,Insufficient data
sdg,Australia and New Zealand,total,Hygiene,2010,0,0,Limited service
sdg,Australia and New Zealand,primary,Hygiene,2010,0,0,Limited service
sdg,Australia and New Zealand,secondary,Hygiene,2010,0,0,Limited service
sdg,Australia and New Zealand,total,Hygiene,2010,0,0,No service
sdg,Australia and New Zealand,primary,Hygiene,2010,0,0,No service
sdg,Australia and New Zealand,secondary,Hygiene,2010,0,0,No service
sdg,Australia and New Zealand,total,Sanitation,2010,100,4803557,Basic service
sdg,Australia and New Zealand,primary,Sanitation,2010,100,2252472,Basic service
sdg,Australia and New Zealand,secondary,Sanitation,2010,100,2153828,Basic service
sdg,Australia and New Zealand,total,Sanitation,2010,0,0,Insufficient data
sdg,Australia and New Zealand,pre_primary,Sanitation,2010,100,397257,Insufficient data
sdg,Australia and New Zealand,primary,Sanitation,2010,0,0,Insufficient data
sdg,Australia and New Zealand,rural,Sanitation,2010,100,703047,Insufficient data
sdg,Australia and New Zealand,secondary,Sanitation,2010,0,0,Insufficient data
sdg,Australia and New Zealand,urban,Sanitation,2010,100,4100510,Insufficient data
sdg,Australia and New Zealand,total,Sanitation,2010,0,0,Limited service
sdg,Australia and New Zealand,primary,Sanitation,2010,0,0,Limited service
sdg,Australia and New Zealand,secondary,Sanitation,2010,0,0,Limited service
sdg,Australia and New Zealand,total,Sanitation,2010,0,0,No service
sdg,Australia and New Zealand,primary,Sanitation,2010,0,0,No service
sdg,Australia and New Zealand,secondary,Sanitation,2010,0,0,No service
sdg,Australia and New Zealand,total,Hygiene,2011,100,4855342,Basic service
sdg,Australia and New Zealand,primary,Hygiene,2011,100,2280271,Basic service
sdg,Australia and New Zealand,secondary,Hygiene,2011,100,2164725,Basic service
sdg,Australia and New Zealand,total,Hygiene,2011,0,0,Insufficient data
sdg,Australia and New Zealand,pre_primary,Hygiene,2011,100,410346,Insufficient data
sdg,Australia and New Zealand,primary,Hygiene,2011,0,0,Insufficient data
sdg,Australia and New Zealand,rural,Hygiene,2011,100,706536,Insufficient data
sdg,Australia and New Zealand,secondary,Hygiene,2011,0,0,Insufficient data
sdg,Australia and New Zealand,urban,Hygiene,2011,100,4148807,Insufficient data
sdg,Australia and New Zealand,total,Hygiene,2011,0,0,Limited service
sdg,Australia and New Zealand,primary,Hygiene,2011,0,0,Limited service
sdg,Australia and New Zealand,secondary,Hygiene,2011,0,0,Limited service
sdg,Australia and New Zealand,total,Hygiene,2011,0,0,No service
sdg,Australia and New Zealand,primary,Hygiene,2011,0,0,No service
sdg,Australia and New Zealand,secondary,Hygiene,2011,0,0,No service
sdg,Australia and New Zealand,total,Sanitation,2011,100,4855342,Basic service
sdg,Australia and New Zealand,primary,Sanitation,2011,100,2280271,Basic service
sdg,Australia and New Zealand,secondary,Sanitation,2011,100,2164725,Basic service
sdg,Australia and New Zealand,total,Sanitation,2011,0,0,Insufficient data
sdg,Australia and New Zealand,pre_primary,Sanitation,2011,100,410346,Insufficient data
sdg,Australia and New Zealand,primary,Sanitation,2011,0,0,Insufficient data
sdg,Australia and New Zealand,rural,Sanitation,2011,100,706536,Insufficient data
sdg,Australia and New Zealand,secondary,Sanitation,2011,0,0,Insufficient data
sdg,Australia and New Zealand,urban,Sanitation,2011,100,4148807,Insufficient data
sdg,Australia and New Zealand,total,Sanitation,2011,0,0,Limited service
sdg,Australia and New Zealand,primary,Sanitation,2011,0,0,Limited service
sdg,Australia and New Zealand,secondary,Sanitation,2011,0,0,Limited service
sdg,Australia and New Zealand,total,Sanitation,2011,0,0,No service
sdg,Australia and New Zealand,primary,Sanitation,2011,0,0,No service
sdg,Australia and New Zealand,secondary,Sanitation,2011,0,0,No service
sdg,Australia and New Zealand,total,Hygiene,2012,100,4910605,Basic service
sdg,Australia and New Zealand,primary,Hygiene,2012,100,2318928,Basic service
sdg,Australia and New Zealand,secondary,Hygiene,2012,100,2167474,Basic service
sdg,Australia and New Zealand,total,Hygiene,2012,0,0,Insufficient data
sdg,Australia and New Zealand,pre_primary,Hygiene,2012,100,424203,Insufficient data
sdg,Australia and New Zealand,primary,Hygiene,2012,0,0,Insufficient data
sdg,Australia and New Zealand,rural,Hygiene,2012,100,709956,Insufficient data
sdg,Australia and New Zealand,secondary,Hygiene,2012,0,0,Insufficient data
sdg,Australia and New Zealand,urban,Hygiene,2012,100,4200649,Insufficient data
sdg,Australia and New Zealand,total,Hygiene,2012,0,0,Limited service
sdg,Australia and New Zealand,primary,Hygiene,2012,0,0,Limited service
